entity,code,avg_rabies,min_rabies,max_rabies,total_rabies
World,OWID_WRL,20192.370667,14075.51,24744.66,605771.12
India,IND,8599.172667,5425.87,11121.14,257975.18
Pakistan,PAK,1582.169000,1177.14,1881.73,47465.07
Nigeria,NGA,1335.416333,1073.95,1441.12,40062.49
China,CHN,1247.906667,744.25,2075.59,37437.20
Ethiopia,ETH,1145.172333,758.05,1323.40,34355.17
Myanmar,MMR,972.903333,560.70,1449.83,29187.10
Bangladesh,BGD,785.708667,180.40,1734.71,23571.26
Nepal,NPL,661.251333,338.14,1041.63,19837.54
Philippines,PHL,618.690333,358.06,898.07,18560.71
