year,start_of_year_date,today_date,year_difference
1980,1980-01-01,2026-04-26,46
1981,1981-01-01,2026-04-26,45
1982,1982-01-01,2026-04-26,44
1983,1983-01-01,2026-04-26,43
1984,1984-01-01,2026-04-26,42
1985,1985-01-01,2026-04-26,41
1986,1986-01-01,2026-04-26,40
1987,1987-01-01,2026-04-26,39
1988,1988-01-01,2026-04-26,38
1989,1989-01-01,2026-04-26,37
1990,1990-01-01,2026-04-26,36
1991,1991-01-01,2026-04-26,35
1995,1995-01-01,2026-04-26,31
1997,1997-01-01,2026-04-26,29
1998,1998-01-01,2026-04-26,28
1999,1999-01-01,2026-04-26,27
2000,2000-01-01,2026-04-26,26
2001,2001-01-01,2026-04-26,25
2002,2002-01-01,2026-04-26,24
2003,2003-01-01,2026-04-26,23
